"","PolicyID","AggClaimAmount","ClaimNb","Exposure","Power","CarAge","DriverAge","Brand","Gas","Region","Density","LogAggClaimAmount","LogDensity","CatDriverAge","CatCarAge","powerF"
"1",33,302,1,0.75,"g",1,61,"Japanese (except Nissan) or Korean","Regular","R11",27000,5.71042701737487,10.2035921449865,2,2,"GH"
"2",41,2001,1,0.14,"l",5,50,"Japanese (except Nissan) or Korean","Diesel","R25",56,7.60140233458373,4.02535169073515,2,3,"other"
"3",92,1449,1,0.14,"d",0,36,"Japanese (except Nissan) or Korean","Regular","R11",4792,7.27862894232068,8.47470313979528,3,1,"DEF"
"4",96,10870,2,0.62,"j",0,51,"Japanese (except Nissan) or Korean","Regular","R11",27000,9.29376198011525,10.2035921449865,2,1,"other"
"5",142,1390,1,0.75,"e",0,34,"Japanese (except Nissan) or Korean","Regular","R31",1565,7.23705902612474,7.35564110297425,3,1,"DEF"
"6",182,1418,1,0.68,"d",10,24,"Renault, Nissan or Citroen","Regular","R11",3064,7.25700270709207,8.02747653086048,4,4,"DEF"
"7",377,747,1,0.5,"i",0,35,"Japanese (except Nissan) or Korean","Regular","R11",1139,6.61606518513282,7.03790596344718,3,1,"other"
"8",378,3332,1,0.73,"f",0,74,"Japanese (except Nissan) or Korean","Regular","R11",3132,8.11132800328673,8.04942705711069,2,1,"DEF"
"9",401,2956,1,0.65,"f",8,49,"Renault, Nissan or Citroen","Regular","R11",9082,7.99159228206809,9.1140497116579,2,3,"DEF"
"10",436,471,1,0.1,"i",0,78,"Japanese (except Nissan) or Korean","Regular","R72",2580,6.15485809401642,7.85554467791566,1,1,"other"
"11",438,73,1,0.75,"j",8,50,"Japanese (except Nissan) or Korean","Regular","R11",27000,4.29045944114839,10.2035921449865,2,3,"other"
"12",467,1835,2,0.69,"i",0,50,"Japanese (except Nissan) or Korean","Regular","R72",353,7.51479976048867,5.8664680569333,2,1,"other"
"13",494,576,1,0.12,"e",0,49,"Japanese (except Nissan) or Korean","Diesel","R52",23,6.35610766069589,3.13549421592915,2,1,"DEF"
"14",500,3409,1,0.73,"e",0,22,"Japanese (except Nissan) or Korean","Regular","R11",4408,8.1341742721379,8.39117635083275,5,1,"DEF"
"15",520,594,1,0.72,"e",0,47,"Japanese (except Nissan) or Korean","Regular","R11",5936,6.38687931936265,8.68879078484722,2,1,"DEF"
"16",580,6518,1,0.15,"g",2,71,"Japanese (except Nissan) or Korean","Regular","R11",2201,8.78232285939751,7.69666708152646,2,2,"GH"
"17",596,1274,1,0.01,"g",0,45,"Japanese (except Nissan) or Korean","Diesel","R11",6570,7.14991683613211,8.79026911147866,2,1,"GH"
"18",615,936,1,0.7,"g",5,32,"Japanese (except Nissan) or Korean","Regular","R11",15725,6.84161547647759,9.66300708156864,3,3,"GH"
"19",643,9105,2,0.57,"l",9,53,"Japanese (except Nissan) or Korean","Regular","R11",3110,9.11657899216171,8.04237800517328,2,3,"other"
"20",723,990,1,0.96,"f",7,47,"Opel, General Motors or Ford","Regular","R72",2498,6.89770494312864,7.82324569068552,2,3,"DEF"
"21",760,1129,1,0.47,"d",0,51,"Japanese (except Nissan) or Korean","Regular","R72",2580,7.02908756414966,7.85554467791566,2,1,"DEF"
"22",766,1107,1,0.93,"i",0,68,"Japanese (except Nissan) or Korean","Regular","R11",17140,7.00940893270864,9.74917019215177,2,1,"other"
"23",909,1344,1,0.26,"l",3,28,"Japanese (except Nissan) or Korean","Diesel","R11",59,7.20340552108309,4.07753744390572,3,2,"other"
"24",944,397,1,0.55,"h",8,51,"Japanese (except Nissan) or Korean","Regular","R11",27000,5.98393628068719,10.2035921449865,2,3,"GH"
"25",948,1472,2,0.66,"g",0,51,"Japanese (except Nissan) or Korean","Regular","R11",27000,7.29437729928882,10.2035921449865,2,1,"GH"
"26",956,508,1,0.65,"j",7,27,"Japanese (except Nissan) or Korean","Diesel","R52",162,6.23048144757848,5.08759633523238,3,3,"other"
"27",1048,1768,1,0.49,"k",0,39,"Japanese (except Nissan) or Korean","Diesel","R11",27000,7.47760424319759,10.2035921449865,3,1,"other"
"28",1059,584,1,0.51,"f",0,35,"Japanese (except Nissan) or Korean","Regular","R24",949,6.36990098282823,6.85540879860993,3,1,"DEF"
"29",1135,1458,1,0.54,"e",0,25,"Volkswagen, Audi, Skoda or Seat","Diesel","R11",10961,7.2848209125686,9.30209879721572,4,1,"DEF"
"30",1188,32445,2,0.42,"k",0,45,"Japanese (except Nissan) or Korean","Diesel","R11",1248,10.3873016270553,7.12929754892937,2,1,"other"
"31",1343,685,1,0.46,"f",5,47,"Opel, General Motors or Ford","Diesel","R25",1021,6.52941883826223,6.92853781816467,2,3,"DEF"
"32",1392,76,1,0.43,"f",8,23,"Renault, Nissan or Citroen","Diesel","R72",800,4.33073334028633,6.68461172766793,4,3,"DEF"
"33",1408,2040,1,0.47,"g",4,46,"Fiat","Regular","R11",56,7.62070508683826,4.02535169073515,2,2,"GH"
"34",1432,890,1,0.29,"f",0,42,"Japanese (except Nissan) or Korean","Regular","R11",17140,6.79122146272619,9.74917019215177,3,1,"DEF"
"35",1454,89,1,0.26,"e",6,32,"Renault, Nissan or Citroen","Regular","R11",3274,4.48863636973214,8.09376775793108,3,3,"DEF"
"36",1526,1244,2,0.43,"e",8,18,"Opel, General Motors or Ford","Diesel","R72",2498,7.12608727329912,7.82324569068552,5,3,"DEF"
"37",1603,593,1,0.21,"d",3,36,"Renault, Nissan or Citroen","Regular","R31",2537,6.38519439899773,7.83873755959928,3,2,"DEF"
"38",1634,74,1,0.38,"g",2,33,"Renault, Nissan or Citroen","Diesel","R11",5460,4.30406509320417,8.60520406873895,3,2,"GH"
"39",1689,634,1,0.26,"f",2,56,"Japanese (except Nissan) or Korean","Diesel","R52",97,6.45204895443723,4.57471097850338,2,2,"DEF"
"40",1965,1024,1,0.19,"d",0,51,"Japanese (except Nissan) or Korean","Regular","R54",100,6.93147180559945,4.60517018598809,2,1,"DEF"
"41",1983,1163,1,0.14,"e",0,60,"Japanese (except Nissan) or Korean","Regular","R11",12750,7.05875815251866,9.45328655058657,2,1,"DEF"
"42",2069,363,1,0.12,"e",0,25,"Japanese (except Nissan) or Korean","Regular","R54",515,5.89440283426485,6.24416690066374,4,1,"DEF"
"43",2160,6103,1,0.07,"j",10,24,"Japanese (except Nissan) or Korean","Regular","R72",72,8.71653573254449,4.27666611901606,4,4,"other"
"44",2286,1147,1,1,"h",9,56,"Fiat","Diesel","R72",272,7.04490511712937,5.605802066296,2,3,"GH"
