"","PolicyID","AggClaimAmount","ClaimNb","Exposure","Power","CarAge","DriverAge","Brand","Gas","Region","Density","LogAggClaimAmount","LogDensity","CatDriverAge","powerF"
"28",1059,584,1,0.51,"f",0,35,"Japanese (except Nissan) or Korean","Regular","R24",949,6.36990098282823,6.85540879860993,2,"DEF"
"47",2425,3602,1,0.68,"e",4,46,"Fiat","Regular","R24",4116,8.1892445257359,8.32263709695394,2,"DEF"
"49",2439,1028,1,0.54,"g",12,44,"Renault, Nissan or Citroen","Regular","R24",399,6.93537044601511,5.98896141688986,2,"GH"
"50",2440,1138,1,0.19,"g",13,44,"Renault, Nissan or Citroen","Regular","R24",399,7.03702761468628,5.98896141688986,2,"GH"
"51",2458,1038,1,1,"f",2,73,"Renault, Nissan or Citroen","Diesel","R24",105,6.94505106372583,4.65396035015752,1,"DEF"
"53",2467,78,1,1,"g",8,53,"Renault, Nissan or Citroen","Regular","R24",121,4.35670882668959,4.79579054559674,1,"GH"
"55",2519,1143,1,1,"h",7,65,"Volkswagen, Audi, Skoda or Seat","Regular","R24",44,7.04141166379481,3.78418963391826,1,"GH"
"56",2538,98,1,1,"g",8,78,"Renault, Nissan or Citroen","Regular","R24",282,4.58496747867057,5.64190707093811,1,"GH"
"57",2581,1504,1,1,"d",6,51,"Renault, Nissan or Citroen","Regular","R24",40,7.31588350450979,3.68887945411394,1,"DEF"
"58",2587,808,1,1,"d",8,76,"Fiat","Regular","R24",405,6.69456205852109,6.00388706710654,1,"DEF"
"59",2591,1134,1,0.59,"f",1,69,"Renault, Nissan or Citroen","Regular","R24",741,7.0335064842877,6.60800062529609,1,"DEF"
"61",2709,314,1,1,"e",1,72,"Renault, Nissan or Citroen","Regular","R24",48,5.74939298590825,3.87120101090789,1,"DEF"
"63",2796,1141,1,0.5,"f",6,44,"Renault, Nissan or Citroen","Diesel","R24",56,7.03966034986208,4.02535169073515,2,"DEF"
"69",2956,1116,1,0.67,"g",2,53,"Renault, Nissan or Citroen","Regular","R24",13,7.01750614294126,2.56494935746154,1,"GH"
